Year,Country,Item,Rainfall (mm),Temperature (Celcius),Yield (hg/ha),Pesticides (Tons)
2010,Indonesia,"Abaca, manila hemp, raw",190.78333333333333,26.6,8275,313639.25
2010,Indonesia,Areca nuts,190.78333333333333,26.6,12623,313639.25
2010,Indonesia,Avocados,190.78333333333333,26.6,109367,313639.25
2010,Indonesia,Bananas,190.78333333333333,26.6,568256,313639.25
2010,Indonesia,"Beans, dry",190.78333333333333,26.6,11300,313639.25
2010,Indonesia,Cabbages,190.78333333333333,26.6,205098,313639.25
2010,Indonesia,Cantaloupes and other melons,190.78333333333333,26.6,134779,313639.25
2010,Indonesia,Carrots and turnips,190.78333333333333,26.6,148745,313639.25
2010,Indonesia,"Cashew nuts, in shell",190.78333333333333,26.6,2021,313639.25
2010,Indonesia,"Cassava, fresh",190.78333333333333,26.6,202174,313639.25
2010,Indonesia,Castor oil seeds,190.78333333333333,26.6,4474,313639.25
2010,Indonesia,Cauliflowers and broccoli,190.78333333333333,26.6,115954,313639.25
2010,Indonesia,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",190.78333333333333,26.6,58339,313639.25
2010,Indonesia,"Cinnamon and cinnamon-tree flowers, raw",190.78333333333333,26.6,8872,313639.25
2010,Indonesia,"Cloves (whole stems), raw",190.78333333333333,26.6,3065,313639.25
2010,Indonesia,Cocoa beans,190.78333333333333,26.6,5114,313639.25
2010,Indonesia,"Coconuts, in shell",190.78333333333333,26.6,60403,313639.25
2010,Indonesia,"Coffee, green",190.78333333333333,26.6,5393,313639.25
2010,Indonesia,Cucumbers and gherkins,190.78333333333333,26.6,96123,313639.25
2010,Indonesia,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",190.78333333333333,26.6,59061,313639.25
2010,Indonesia,Eggplants (aubergines),190.78333333333333,26.6,92472,313639.25
2010,Indonesia,"Ginger, raw",190.78333333333333,26.6,177971,313639.25
2010,Indonesia,Green corn (maize),190.78333333333333,26.6,44356,313639.25
2010,Indonesia,Green garlic,190.78333333333333,26.6,67704,313639.25
2010,Indonesia,"Groundnuts, excluding shelled",190.78333333333333,26.6,22028,313639.25
2010,Indonesia,Kapok fruit,190.78333333333333,26.6,9721,313639.25
2010,Indonesia,"Kenaf, and other textile bast fibres, raw or retted",190.78333333333333,26.6,15113,313639.25
2010,Indonesia,Leeks and other alliaceous vegetables,190.78333333333333,26.6,94000,313639.25
2010,Indonesia,Maize (corn),190.78333333333333,26.6,44359,313639.25
2010,Indonesia,"Mangoes, guavas and mangosteens",190.78333333333333,26.6,119718,313639.25
2010,Indonesia,Natural rubber in primary forms,190.78333333333333,26.6,7938,313639.25
2010,Indonesia,"Nutmeg, mace, cardamoms, raw",190.78333333333333,26.6,1338,313639.25
2010,Indonesia,Oil palm fruit,190.78333333333333,26.6,172960,313639.25
2010,Indonesia,"Onions and shallots, dry (excluding dehydrated)",190.78333333333333,26.6,95676,313639.25
2010,Indonesia,Oranges,190.78333333333333,26.6,355431,313639.25
2010,Indonesia,"Other beans, green",190.78333333333333,26.6,65246,313639.25
2010,Indonesia,"Other fruits, n.e.c.",190.78333333333333,26.6,117953,313639.25
2010,Indonesia,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",190.78333333333333,26.6,4098,313639.25
2010,Indonesia,Other pulses n.e.c.,190.78333333333333,26.6,5773,313639.25
2010,Indonesia,"Other stimulant, spice and aromatic crops, n.e.c.",190.78333333333333,26.6,235572,313639.25
2010,Indonesia,Other sugar crops n.e.c.,190.78333333333333,26.6,26866,313639.25
2010,Indonesia,"Other tropical fruits, n.e.c.",190.78333333333333,26.6,114836,313639.25
