Bulan.;Curah Hujan Jakarta Menurut Bulan (Mm);;;;;;;;;;;
;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Januari;571.9;258.4;220.0;626.4;912.3;419.7;156.3;294.2;215.1;383.9;618.0;332.8
Pebruari;352.9;183.5;195.4;212.0;708.0;888.9;386.9;627.9;431.2;270.1;1043.2;604.4
Maret;176.0;104.8;180.5;173.2;302.5;213.1;280.0;165.5;188.6;327.3;220.7;244.1
April;21.1;34.4;110.2;131.8;70.4;96.7;181.5;116.1;159.1;194.6;182.8;213.9
Mei;134.1;157.1;121.7;276.0;48.7;44.4;2.8;60.0;16.7;47.8;50.4;203.6
Juni;172.7;77.7;44.5;112.2;102.4;19.7;180.3;181.6;12.6;23.1;21.1;79.1
Juli;86.1;53.1;25.0;188.3;160.0;2.5;108.3;34.4;14.5;0.0;12.1;35.8
Agustus;67.2;13.5;0;116.8;33.5;24.0;207.7;1.9;33.0;0.0;101.0;79.7
September;194.9;2.8;25.5;70.1;0;16.0;252.9;74.9;62.0;1.0;151.9;113.4
Oktober;219.8;57.7;73.0;82.8;6.0;0;159.4;159.4;133.8;1.0;208.3;182.1
Nopember;137.7;114.0;252.2;98.0;82.7;172.9;104.9;160.4;140.9;50.1;87.3;134.1
Desember;155.0;132.2;279.6;246.8;163.7;250.4;25.3;217.2;52.3;263.8;134.7;171.6
;;;;;;;;;;;;
Sumber: Badan Meteorologi, Klimatologi, dan Geofisika;;;;;;;;;;;;
Source Url: https://jakarta.bps.go.id/indicator/151/373/2/curah-hujan-di-stasiun-kemayoran-menurut-bulan.html;;;;;;;;;;;;
Access Time: December 22, 2023, 10:09 pm;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
